City,County,Address,Zip Code,Number,Latitude,Longitude
Santa Clarita,Los Angeles,26517 Bouquet Canyon Rd ,91350,13,34.428603,-118.536282
Westlake Village,Los Angeles,3835 E Thousand Oaks Blvd ,91362,58,34.163371,-118.82459
Woodland Hills,Los Angeles,21055 Ventura Blvd ,91364,209,34.16709,-118.59249
Sherman Oaks,Los Angeles,14119 Riverside Dr ,91423,49,34.157773,-118.440603
Burbank,Los Angeles,214 E Alameda Ave,91502,124,34.184225,-118.297721
Toluca Lake,Los Angeles,10130 Riverside Dr ,91602,54,34.151963,-118.351806
Studio City,Los Angeles,11976 Ventura Blvd ,91604,122,34.143412,-118.392915
North Hollywood,Los Angeles,6130 Laurel Canyon Bl ,91606,252,34.181924,-118.396293
Claremont,Los Angeles,475 W Foothill Blvd ,91711,214,34.107695,-117.740649
San Dimas,Los Angeles,856 W Arrow Hwy ,91773,28,34.106474,-117.823909
Irvine,Orange,14443 Culver Dr,92604,37,33.706142,-117.788436
Irvine,Orange,4225 Campus Dr,92612,111,33.647927,-117.83511
Irvine,Orange,6222 Irvine Blvd,92620,210,33.672218,-117.768064
Costa Mesa,Orange,640 W 17th St ,92627,35,33.636671,-117.924938
Huntington Beach,Los Angeles,21431 Brookhurst St ,92646,241,33.651267,-117.95482
Huntington Beach,Los Angeles,18681 Main St ,92648,47,33.692287,-117.992657
Huntington Beach,Los Angeles,16821 Algonquin St ,92649,244,33.717585,-118.051262
Laguna Hills,Orange,24231 Avenida De La Carlota ,92653,39,33.609257,-117.703572
Aliso Viejo,Orange,26541 Aliso Creek Rd,92656,195,33.575643,-117.723582
Newport Beach,Orange,8086 E Pacific Coast Hwy ,92657,125,33.597128,-117.835987
San Juan Capistrano,Orange,32151 Camino Capistrano ,92675,249,33.496035,-117.663591
Rancho Santa Margarita,Orange,30652 Santa Margarita Pkwy ,92688,27,33.642394,-117.595404
Mission Viejo,Orange,25410 Marguerite Pkwy ,92692,126,33.591739,-117.659646
Santa Ana,Orange,3329 S Bristol St,92704,113,33.703343,-117.885486
Tustin,Orange,1198 Irvine Blvd.,92780,197,33.747328,-117.808402
Brea,Orange,2500 E Imperial Hwy,92821,11,33.909638,-117.864404
Orange,Orange,2114 N Tustin St ,92865,46,33.823207,-117.836453
Yorba Linda,Orange,19655 Yorba Linda Blvd ,92886,176,33.889444,-117.792261
Palmdale,Los Angeles,39507 10th St W ,93551,185,34.600248,-118.147782
